[INFO] Server started.
[INFO] Server running. Press Ctrl+C to stop.
[[Server]] Listening on port 42069 @ 60 TPS
[[Server]] Tick 0 | Cache: 0/20000
[[Server]] Tick 300 | Cache: 0/20000
[[Server]] Tick 600 | Cache: 35/20000
[[Server]] Tick 900 | Cache: 91/20000
[[Server]] Tick 1200 | Cache: 140/20000
[[Server]] Tick 1800 | Cache: 236/20000
[[Server]] Tick 2100 | Cache: 386/20000
[[Server]] Error handling chunk (2,0,-8): Cannot access a disposed object.
Object name: 'System.Net.Sockets.NetworkStream'.
[[Server]] Tick 2700 | Cache: 469/20000
[[Server]] Tick 3000 | Cache: 469/20000
[[Server]] Tick 3600 | Cache: 469/20000
[[Server]] Tick 3600 | Cache: 469/20000
[[Server]] Tick 3900 | Cache: 469/20000
[[Server]] Tick 4200 | Cache: 469/20000
[[Server]] Tick 4500 | Cache: 469/20000
[[Server]] Tick 4800 | Cache: 469/20000
[[Server]] Tick 4800 | Cache: 469/20000
[[Server]] Tick 5100 | Cache: 469/20000
[[Server]] Tick 5400 | Cache: 469/20000
[[Server]] Tick 5700 | Cache: 469/20000
[[Server]] Tick 6000 | Cache: 469/20000
[[Server]] Tick 6300 | Cache: 469/20000
[[Server]] Tick 6600 | Cache: 469/20000
[[Server]] Tick 6600 | Cache: 469/20000
[[Server]] Tick 6900 | Cache: 469/20000
[[Server]] Tick 7200 | Cache: 469/20000
[[Server]] Tick 7500 | Cache: 469/20000
[[Server]] Tick 7800 | Cache: 469/20000
[[Server]] Tick 8100 | Cache: 469/20000
[[Server]] Tick 8400 | Cache: 469/20000
[[Server]] Tick 8700 | Cache: 469/20000
[[Server]] Tick 9000 | Cache: 469/20000
[[Server]] Tick 9300 | Cache: 469/20000
[[Server]] Tick 9600 | Cache: 469/20000
[[Server]] Tick 9900 | Cache: 469/20000
[[Server]] Tick 10200 | Cache: 469/20000
[[Server]] Tick 10500 | Cache: 469/20000
[[Server]] Tick 10800 | Cache: 469/20000
[[Server]] Tick 11100 | Cache: 469/20000
[[Server]] Tick 11400 | Cache: 469/20000
[[Server]] Tick 11700 | Cache: 469/20000
[[Server]] Tick 12000 | Cache: 469/20000
[[Server]] Tick 12300 | Cache: 469/20000
[[Server]] Tick 12600 | Cache: 469/20000
[[Server]] Tick 12900 | Cache: 469/20000
[[Server]] Tick 13200 | Cache: 469/20000
[[Server]] Tick 13500 | Cache: 469/20000
[[Server]] Tick 13800 | Cache: 469/20000
[[Server]] Tick 14100 | Cache: 469/20000
[[Server]] Tick 14400 | Cache: 469/20000
[[Server]] Tick 14700 | Cache: 469/20000
[[Server]] Tick 15000 | Cache: 469/20000
[[Server]] Tick 15300 | Cache: 469/20000
[[Server]] Tick 15600 | Cache: 469/20000
[[Server]] Tick 15900 | Cache: 469/20000
[[Server]] Tick 16200 | Cache: 469/20000
[[Server]] Tick 16500 | Cache: 469/20000
[[Server]] Tick 16800 | Cache: 469/20000
[[Server]] Tick 17100 | Cache: 469/20000
[[Server]] Tick 17400 | Cache: 469/20000
[[Server]] Tick 17700 | Cache: 469/20000
[[Server]] Tick 18000 | Cache: 469/20000
[[Server]] Tick 18300 | Cache: 469/20000
[[Server]] Tick 18600 | Cache: 469/20000
[[Server]] Tick 18900 | Cache: 469/20000
[[Server]] Tick 19200 | Cache: 469/20000
[[Server]] Tick 19500 | Cache: 469/20000
[[Server]] Tick 19800 | Cache: 469/20000
[[Server]] Tick 20100 | Cache: 469/20000
[[Server]] Tick 20400 | Cache: 469/20000
[[Server]] Tick 20700 | Cache: 469/20000
[[Server]] Tick 21000 | Cache: 469/20000
[[Server]] Tick 21300 | Cache: 469/20000
[[Server]] Tick 21600 | Cache: 469/20000
[[Server]] Tick 21900 | Cache: 469/20000
[[Server]] Tick 22200 | Cache: 469/20000
[[Server]] Tick 22500 | Cache: 469/20000
[[Server]] Tick 22800 | Cache: 469/20000
[[Server]] Tick 23100 | Cache: 469/20000
[[Server]] Tick 23400 | Cache: 469/20000
[[Server]] Tick 23700 | Cache: 469/20000
[[Server]] Tick 24000 | Cache: 469/20000
[[Server]] Tick 24300 | Cache: 469/20000
[[Server]] Tick 24600 | Cache: 469/20000
[[Server]] Tick 24600 | Cache: 469/20000
[[Server]] Tick 24900 | Cache: 469/20000
[[Server]] Tick 25500 | Cache: 469/20000
[[Server]] Tick 25500 | Cache: 469/20000
[[Server]] Tick 25800 | Cache: 469/20000
[[Server]] Tick 26100 | Cache: 469/20000
[[Server]] Tick 26400 | Cache: 469/20000
[[Server]] Tick 26700 | Cache: 469/20000
[[Server]] Tick 27000 | Cache: 469/20000
[[Server]] Tick 27300 | Cache: 469/20000
[[Server]] Tick 27600 | Cache: 469/20000
[[Server]] Tick 27900 | Cache: 469/20000
[[Server]] Tick 28200 | Cache: 469/20000
[[Server]] Tick 28500 | Cache: 512/20000
[[Server]] Tick 28800 | Cache: 563/20000
[[Server]] Tick 29100 | Cache: 601/20000
[[Server]] Tick 29400 | Cache: 649/20000
[[Server]] Tick 29700 | Cache: 784/20000
[[Server]] Error handling chunk (0,-1,9): Cannot access a disposed object.
Object name: 'System.Net.Sockets.NetworkStream'.
[[Server]] Tick 30000 | Cache: 831/20000
